"Player","Squad","Born","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Darlin Yongwa,Lorient,2000,29,24,0.12,0.12,0.23,0.08,0.19
Mattia Zaccagni,Lazio,1995,118,76,0.32,0.19,0.52,0.22,0.15
Wilfried Zaha,Crystal Palace,1992,86,75,0.28,0.08,0.35,0.26,0.11
Rodrigo Zalazar,Schalke 04,1999,26,34,0.07,0.41,0.48,0.21,0.31
Nicola Zalewski,Roma,2002,92,85,0.08,0.04,0.12,0.05,0.05
Andre-Frank Zambo Anguissa,Napoli,1995,58,181,0.09,0.15,0.24,0.13,0.08
Alessandro Zanoli,Sampdoria,2000,50,36,0.12,0.18,0.29,0.15,0.07
Duv�n Zapata,Atalanta,1991,35,40,0.13,0.13,0.26,0.25,0.07
Davide Zappacosta,Atalanta,1992,48,55,0.24,0.12,0.37,0.09,0.1
Marvin Zeegelaar,Udinese,1990,6,9,0.25,0,0.25,0.05,0.04
Mehdi Zeffane,Clermont Foot,1992,9,18,0.14,0.14,0.27,0.15,0.1
Edon Zhegrova,Lille,1999,74,52,0.26,0.34,0.6,0.31,0.39
Piotr Zieli?ski,Napoli,1994,62,128,0.12,0.31,0.43,0.14,0.29
Oleksandr Zinchenko,Arsenal,1996,67,227,0.04,0.08,0.13,0.06,0.06
Joshua Zirkzee,Bologna,2001,10,17,0.22,0.22,0.44,0.34,0.15
Simon Zoller,Bochum,1991,10,21,0.19,0.12,0.31,0.26,0.07
Igor Zubeldia,Real Sociedad,1997,14,128,0.04,0.04,0.07,0.03,0.01
Mart�n Zubimendi,Real Sociedad,1999,43,184,0.03,0.09,0.12,0.06,0.06
Martin �degaard,Arsenal,1998,83,266,0.43,0.2,0.63,0.29,0.23
Milan ?uri?,Hellas Verona,1990,2,29,0.07,0.07,0.13,0.09,0.08
