"Player","Squad","Born","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Ermedin Demirovi?,Augsburg,1998,26,48,0.3,0.15,0.46,0.29,0.13
Branco van den Boomen,Toulouse,1995,48,321,0.16,0.25,0.41,0.19,0.25
Emmanuel Dennis,Nott'ham Forest,1997,24,17,0.25,0.25,0.5,0.23,0.07
Fabio Depaoli,Hellas Verona,1997,28,66,0.08,0.08,0.17,0.07,0.05
Mikkel Desler,Toulouse,1995,59,136,0.04,0.08,0.12,0.03,0.08
Cyriel Dessers,Cremonese,1994,21,27,0.34,0.06,0.4,0.4,0.09
Gerard Deulofeu,Udinese,1994,72,82,0.15,0.45,0.59,0.38,0.33
Kiernan Dewsbury-Hall,Leicester City,1998,68,132,0.08,0.08,0.16,0.09,0.13
Federico Di Francesco,Lecce,1994,50,60,0.09,0.09,0.18,0.14,0.12
Giovanni Di Lorenzo,Napoli,1993,73,256,0.08,0.11,0.19,0.07,0.13
�ngel Di Mar�a,Juventus,1988,56,96,0.26,0.26,0.53,0.2,0.29
Boulaye Dia,Salernitana,1996,48,50,0.57,0.21,0.79,0.31,0.11
Moussa Diaby,Leverkusen,1999,125,104,0.3,0.27,0.57,0.37,0.27
Habib Diallo,Strasbourg,1995,40,41,0.63,0.03,0.66,0.56,0.11
Mouhamadou Diarra,Strasbourg,2004,68,52,0.17,0.11,0.28,0.1,0.12
Kr�pin Diatta,Monaco,1999,80,90,0.17,0.09,0.26,0.2,0.15
Brahim D�az,Milan,1999,80,121,0.28,0.33,0.61,0.28,0.26
Luis D�az,Liverpool,1997,39,49,0.36,0.18,0.54,0.22,0.14
Eric Dier,Tottenham,1994,9,87,0.06,0.03,0.1,0.05,0.04
Federico Dimarco,Inter,1997,45,88,0.17,0.13,0.3,0.13,0.3
Junior Dina Ebimbe,Eint Frankfurt,2000,38,45,0.25,0.08,0.34,0.31,0.12
Sofiane Diop,Nice,2000,55,72,0.07,0.29,0.37,0.19,0.14
Axel Disasi,Monaco,1998,64,206,0.08,0.08,0.16,0.1,0.03
Alexander Djiku,Strasbourg,1994,4,136,0.03,0.07,0.1,0.05,0.02
Ritsu Doan,Freiburg,1998,83,69,0.19,0.15,0.33,0.26,0.12
Dod�,Fiorentina,1998,72,141,0.04,0.12,0.15,0.03,0.09
Danilho Doekhi,Union Berlin,1998,15,73,0.2,0.04,0.24,0.08,0.02
Josh Doig,Hellas Verona,2002,41,27,0.13,0.2,0.33,0.12,0.08
Jeremy Doku,Rennes,2002,101,71,0.42,0.14,0.56,0.19,0.34
Nicol�s Dom�nguez,Bologna,1998,39,147,0.12,0.08,0.2,0.1,0.11
